Problem_ID,Subcat,problem_latex,answer_latex
C_3x3_det_001,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -3 & 5 & 1 \\ -2 & -3 & 9 \\ 1 & 1 & -6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -41
C_3x3_det_002,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -2 & -7 & -8 \\ 2 & -4 & -8 \\ -9 & 2 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -236
C_3x3_det_003,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 7 & 0 & 6 \\ 5 & 5 & 9 \\ 2 & -7 & -5 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -4
C_3x3_det_004,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 9 & -3 & -1 \\ -3 & 8 & -6 \\ 4 & 8 & -1 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 497
C_3x3_det_005,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -8 & 5 & -3 \\ 2 & -2 & 5 \\ -7 & 4 & 7 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 45
C_3x3_det_006,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -6 & 8 & -2 \\ -6 & -8 & -4 \\ 0 & -6 & 8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 840
C_3x3_det_007,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 2 & -8 & 0 \\ -6 & 4 & 6 \\ 5 & -2 & 4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -376
C_3x3_det_008,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -2 & 6 & 3 \\ 8 & 5 & 3 \\ -1 & 5 & 3 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -27
C_3x3_det_009,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -9 & -3 & -1 \\ -9 & 2 & -2 \\ 1 & 9 & 7 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -388
C_3x3_det_010,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -2 & -7 & -7 \\ -9 & -5 & 0 \\ -3 & -1 & -3 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 201
C_3x3_det_011,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -3 & 4 & 6 \\ 7 & -1 & 5 \\ -5 & -2 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -394
C_3x3_det_012,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 2 & 6 & -6 \\ -9 & 7 & 7 \\ -5 & -2 & 1 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -432
C_3x3_det_013,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 2 & -1 & -2 \\ -1 & -3 & 8 \\ -6 & -3 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 126
C_3x3_det_014,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -8 & 3 & -4 \\ 1 & -3 & 8 \\ 6 & 9 & 1 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 633
C_3x3_det_015,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -9 & -4 & -3 \\ 3 & -7 & -8 \\ 8 & 7 & -5 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -854
C_3x3_det_016,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -1 & -1 & 5 \\ 8 & 7 & 3 \\ -3 & -1 & -4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 67
C_3x3_det_017,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -8 & -7 & -6 \\ -8 & 0 & 2 \\ 7 & 6 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 286
C_3x3_det_018,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 0 & 8 & -9 \\ -9 & 4 & 3 \\ 2 & -9 & -7 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -1113
C_3x3_det_019,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -3 & -5 & -2 \\ 8 & 6 & -4 \\ 2 & 4 & -7 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -202
